plotID;Plot;Park;year;graze;Aspect;AspectCat;heatloadrel;slope;nativecov;litt;bare;height;htstdev;cov;presence;Species 
PR9;9;PR;2005;1;210;S;1.1;18;0;2.14;2.857142857;19.51552795;14.66207079;0.7513028;0;WEME
SU1;1;SU;2005;1;228.2299957;S;0.49;56.4815;11.43;3.93;5;18.11643836;10.71930921;0.591689658;0;WEME
SU2;2;SU;2005;1;296.4400024;N;0.01;25.5469;41.79;1.79;9.642857143;12.0310559;7.074092133;0.587985975;1;WEME
SU3;3;SU;2005;1;298.9339905;N;1.92;22.9953;40.36;2.5;5;12.49635036;6.303738489;0.504446363;1;WEME
SU4;4;SU;2005;1;62.1026001;N;1.21;30;12.86;5;3.571428571;14.24025974;10.66424923;0.748880247;0;WEME
SU5;5;SU;2005;1;117.6470032;S;1.98;2.96331;10.36;5;2.142857143;14.15833333;8.280782484;0.584869864;1;WEME
SU6;6;SU;2005;1;83.50640106;N;0.32;30.9485;18.21;1.79;2.142857143;24.21301775;12.42509255;0.513157537;1;WEME
SU7;7;SU;2005;0;167.2420044;S;2.02;13.5854;0;4.64;0.357142857;47.46596859;24.52512447;0.516688592;0;WEME
SU8;8;SU;2005;0;175.3650055;S;1.04;9.28037;0;3.57;0.357142857;48.4789916;22.06494602;0.455144492;0;WEME
SU9;9;SU;2005;0;249.5070038;S;2.01;26.42210007;1.43;11.79;0.714285714;35.4;17.02701359;0.480989084;0;WEME
VC1;1;VC;2005;1;71;N;0.36;75;3.21;14.64;10;14.28244275;11.01975485;0.771559532;0;WEME
VC2;2;VC;2005;1;187;S;1.86;43;16.43;5;24.28571429;20.95901639;89.81472183;4.285254621;1;WEME
VC3;3;VC;2005;1;35;N;1.9;29;1.79;3.57;1.428571429;11.01818182;6.996698852;0.635013922;0;WEME
VC4;4;VC;2005;0;158;S;0;26;0;1.43;0.357142857;29.09565217;11.02387673;0.378883988;1;WEME
VC5;5;VC;2005;0;13;N;0.17;17;2.14;2.5;1.428571429;22.25;8.344633688;0.375039716;1;WEME
VC6;6;VC;2005;0;348;N;0.86;24;0.36;0;0;21.88888889;9.931012033;0.453701057;1;WEME
VC7;7;VC;2005;1;88;N;0.46;28;0;1.79;0;14.46;8.251623654;0.570651705;1;WEME
VC8;8;VC;2005;1;348;N;0.86;29;8.21;3.21;1.785714286;10.7107438;5.758237602;0.537613233;1;WEME
VC9;9;VC;2005;1;99;S;1.89;25;0.71;3.21;4.285714286;12.76041667;7.765978153;0.608599104;1;WEME
VC10;10;VC;2005;0;304;N;0.84;36;14.64;4.29;0;18.453125;11.32265472;0.613590095;1;WEME
MT1;1;MT;2006;0;145.7839966;S;0.03;37.79050064;2.86;10.71428571;0.357142857;33.32835821;15.90184938;0.477126694;0;GRSP
MT2;2;MT;2006;0;250.4629974;S;1.35;41.11719894;2.14;10.71428571;1.071428571;25.3902439;13.68715693;0.539071503;0;GRSP
MT3;3;MT;2006;0;261.8699951;S;2.06;35.3553009;0;1.071428571;1.428571429;40.09340659;20.78346826;0.518376213;1;GRSP
MT4;4;MT;2006;1;190.3049927;S;0.31;27.95079994;0.71;10.35714286;6.785714286;20.96527778;13.97821141;0.666731515;0;GRSP
MT5;5;MT;2006;1;273.6520081;N;1.83;58.86959839;2.14;11.42857143;10;22.31496063;11.77547949;0.527694388;0;GRSP
MT6;6;MT;2006;1;278.9729919;N;0.95;48.08850098;8.21;6.428571429;13.92857143;11.16058394;9.068557166;0.812552212;0;GRSP
MT7;7;MT;2006;1;284.743988;N;0.46;49.11719894;2.5;10;8.214285714;16.546875;8.765411063;0.529732113;0;GRSP
MT8;8;MT;2006;1;262.875;S;1.49;60.46689987;1.79;6.428571429;14.28571429;14.84482759;7.907732537;0.532692784;0;GRSP
MT9;9;MT;2006;0;201.0379944;S;0.51;34.82099915;0;11.42857143;11.07142857;32.33613445;19.33131179;0.597823831;0;GRSP
MT10;10;MT;2006;0;228.0130005;S;0.31;33.63410187;0.36;1.785714286;0.357142857;44.22695035;20.4839201;0.463154704;0;GRSP
PR4;4;PR;2006;1;328;N;0.03;38;12.5;2.5;10.71428571;7.130434783;4.783967632;0.67092229;1;GRSP
PR5;5;PR;2006;1;136;S;2.06;31;2.5;6.071428571;13.57142857;5.7;3.808267132;0.668117041;1;GRSP
PR6;6;PR;2006;1;138;S;0.7;27;0;7.5;14.28571429;7.456521739;5.66348055;0.759533835;1;GRSP
PR7;7;PR;2006;1;141;S;1.22;40;0.71;1.071428571;1.071428571;14.29310345;9.292369232;0.650129572;0;GRSP
PR8;8;PR;2006;1;147;S;0.93;33;1.79;2.5;2.857142857;23.66891892;14.2520501;0.602141997;0;GRSP
PR9;9;PR;2006;1;210;S;1.1;18;0;4.642857143;2.142857143;16.21969697;11.34558756;0.699494422;0;GRSP
SU1;1;SU;2006;1;228.2299957;S;0.49;56.4815;13.21;10.71428571;5;13.16504854;8.743733989;0.664162685;0;GRSP
SU2;2;SU;2006;1;296.4400024;N;0.01;25.5469;25.36;2.5;17.5;11.12307692;9.11682607;0.819631666;0;GRSP
SU3;3;SU;2006;1;298.9339905;N;1.92;22.9953;15.71;8.571428571;5;9.485436893;5.80882371;0.612393902;1;GRSP
SU4;4;SU;2006;1;62.1026001;N;1.21;30;14.29;7.857142857;1.785714286;17.19708029;9.686132762;0.563242864;0;GRSP
SU5;5;SU;2006;1;117.6470032;S;1.98;2.96331;3.57;8.928571429;1.428571429;12.71578947;7.010119066;0.551292476;0;GRSP
SU6;6;SU;2006;1;83.50640106;N;0.32;30.9485;14.64;9.642857143;0.714285714;16.93129771;8.36953343;0.49432321;1;GRSP
SU7;7;SU;2006;0;167.2420044;S;2.02;13.5854;0.71;1.071428571;0.357142857;37.35031847;16.86935708;0.451652296;0;GRSP
SU8;8;SU;2006;0;175.3650055;S;1.04;9.28037;0;0.714285714;0;44.94630872;23.55952359;0.524170377;0;GRSP
SU9;9;SU;2006;0;249.5070038;S;2.01;26.42210007;0;3.571428571;0.714285714;35.856;17.35711437;0.484078379;0;GRSP
VC1;1;VC;2006;1;71;N;0.36;75;2.86;13.92857143;32.5;7;4.600053677;0.657150525;0;GRSP
VC2;2;VC;2006;1;187;S;1.86;43;11.79;6.785714286;14.64285714;9.521367521;6.674188948;0.700969575;0;GRSP
VC3;3;VC;2006;1;35;N;1.9;29;6.07;1.428571429;1.428571429;8.454545455;5.372402509;0.635445458;0;GRSP
VC4;4;VC;2006;0;158;S;0;26;0;2.857142857;0;23.20325203;10.44498417;0.450151735;0;GRSP
VC5;5;VC;2006;0;13;N;0.17;17;1.07;9.642857143;0.714285714;13.31578947;6.234002082;0.468166164;0;GRSP
VC6;6;VC;2006;0;348;N;0.86;24;0;0;0;28.74757282;11.3099977;0.393424439;0;GRSP
VC7;7;VC;2006;1;88;N;0.46;28;0;1.071428571;0.357142857;15.39189189;7.722618563;0.501732901;0;GRSP
VC8;8;VC;2006;1;348;N;0.86;29;4.64;11.42857143;1.071428571;8.814814815;4.96515637;0.563274042;0;GRSP
VC9;9;VC;2006;1;99;S;1.89;25;0.36;1.071428571;1.785714286;10.66981132;6.351185413;0.595248147;0;GRSP
VC10;10;VC;2006;0;304;N;0.84;36;12.5;15.71428571;0;16;8.555445761;0.53471536;0;GRSP
MT1;1;MT;2006;0;145.7839966;S;0.03;37.79050064;2.86;10.71428571;0.357142857;33.32835821;15.90184938;0.477126694;0;HOLA
MT2;2;MT;2006;0;250.4629974;S;1.35;41.11719894;2.14;10.71428571;1.071428571;25.3902439;13.68715693;0.539071503;0;HOLA
MT3;3;MT;2006;0;261.8699951;S;2.06;35.3553009;0;1.071428571;1.428571429;40.09340659;20.78346826;0.518376213;0;HOLA
MT4;4;MT;2006;1;190.3049927;S;0.31;27.95079994;0.71;10.35714286;6.785714286;20.96527778;13.97821141;0.666731515;1;HOLA
MT5;5;MT;2006;1;273.6520081;N;1.83;58.86959839;2.14;11.42857143;10;22.31496063;11.77547949;0.527694388;1;HOLA
